Mach,CD Power-Off,CD Power-On
12.06,0.191302754,0.189987663
12.07,0.191287835,0.189974801
12.08,0.191272947,0.189961964
12.09,0.191258097,0.18994916
12.1,0.191243287,0.189936392
12.11,0.191228496,0.189923639
12.12,0.191213754,0.189910929
12.13,0.191199042,0.189898244
12.14,0.191184357,0.189885582
12.15,0.191169712,0.189872955
12.16,0.191155096,0.189860352
12.17,0.191140508,0.189847773
12.18,0.191125958,0.189835227
12.19,0.191111448,0.189822716
12.2,0.191096966,0.189810229
12.21,0.191082512,0.189797765
12.22,0.191068096,0.189785335
12.23,0.191053708,0.189772927
12.24,0.191039349,0.189760545
12.25,0.191025038,0.189748205
12.26,0.191010754,0.189735888
12.27,0.190996489,0.189723586
12.28,0.19098227,0.189711325
12.29,0.19096807,0.189699078
12.3,0.190953906,0.189686864
12.31,0.190939782,0.189674684
12.32,0.190925684,0.189662526
12.33,0.190911613,0.189650391
12.34,0.19089758,0.189638288
12.35,0.190883583,0.189626219
12.36,0.190869615,0.189614172
12.37,0.190855662,0.189602138
12.38,0.190841757,0.189590146
12.39,0.190827879,0.189578177
12.4,0.190814028,0.189566231
12.41,0.190800213,0.189554316
12.42,0.190786425,0.189542424
12.43,0.190772663,0.189530554
12.44,0.190758948,0.189518726
12.45,0.19074525,0.189506911
12.46,0.190731577,0.189495118
12.47,0.190717951,0.189483366
12.48,0.190704341,0.189471626
12.49,0.190690767,0.189459918
12.5,0.190677219,0.189448232
12.51,0.190663707,0.189436577
12.52,0.19065023,0.189424954
12.53,0.19063677,0.189413343
12.54,0.190623345,0.189401763
12.55,0.190609946,0.189390204
12.56,0.190596572,0.189378667
12.57,0.190583244,0.189367172
12.58,0.190569932,0.189355688
12.59,0.190556655,0.189344235
12.6,0.190543403,0.189332803
12.61,0.190530186,0.189321402
12.62,0.190516985,0.189310013
12.63,0.190503828,0.189298664
12.64,0.190490695,0.189287335
12.65,0.190477579,0.189276019
12.66,0.190464508,0.189264743
12.67,0.19045146,0.189253487
12.68,0.190438438,0.189242252
12.69,0.19042544,0.189231038
12.7,0.190412476,0.189219853
12.71,0.190399548,0.189208701
12.72,0.190386633,0.189197558
12.73,0.190373753,0.189186445
12.74,0.190360907,0.189175363
12.75,0.190348074,0.189164291
12.76,0.190335278,0.18915325
12.77,0.190322514,0.189142239
12.78,0.190309765,0.189131237
12.79,0.190297049,0.189120266
12.8,0.190284367,0.189109324
12.81,0.190271699,0.189098393
12.82,0.190259065,0.189087491
12.83,0.190246465,0.18907662
12.84,0.190233888,0.189065768
12.85,0.190221334,0.189054935
12.86,0.190208814,0.189044133
12.87,0.190196318,0.18903335
12.88,0.190183844,0.189022587
12.89,0.190171394,0.189011842
12.9,0.190158988,0.189001138
12.91,0.190146583,0.188990433
12.92,0.190134222,0.188979766
12.93,0.190121885,0.18896912
12.94,0.190109571,0.188958493
12.95,0.190097288,0.188947894
12.96,0.190085029,0.188937315
12.97,0.190072803,0.188926766
12.98,0.190060589,0.188916224
12.99,0.190048408,0.188905712
13,0.19003625,0.188895219
13.01,0.190024124,0.188884754
13.02,0.19001202,0.188874309
13.03,0.189999939,0.188863882
13.04,0.18998788,0.188853473
13.05,0.189975853,0.188843094
13.06,0.189963859,0.188832743
13.07,0.189951876,0.1888224
13.08,0.189939925,0.188812086
13.09,0.189927997,0.188801791
13.1,0.18991609,0.188791514
13.11,0.189904216,0.188781265
13.12,0.189892374,0.188771045
13.13,0.189880542,0.188760833
13.14,0.189868733,0.188750639
13.15,0.189856965,0.188740482
13.16,0.189845209,0.188730334
13.17,0.189833474,0.188720205
13.18,0.189821781,0.188710112
13.19,0.189810099,0.188700029
13.2,0.189798438,0.188689962
13.21,0.189786809,0.188679924
13.22,0.189775211,0.188669914
13.23,0.189763624,0.188659911
13.24,0.189752068,0.188649936
13.25,0.189740533,0.188639978
13.26,0.189729019,0.188630038
13.27,0.189717537,0.188620126
13.28,0.189706075,0.188610231
13.29,0.189694643,0.188600363
13.3,0.189683223,0.188590504
13.31,0.189671833,0.188580671
13.32,0.189660474,0.188570866
13.33,0.189649125,0.188561068
13.34,0.189637806,0.188551296
13.35,0.189626509,0.188541543
13.36,0.189615232,0.188531806
13.37,0.189603985,0.188522097
13.38,0.189592759,0.188512405
13.39,0.189581552,0.188502729
13.4,0.189570367,0.188493071
13.41,0.18955922,0.188483449
13.42,0.189548075,0.188473824
13.43,0.189536968,0.188464236
13.44,0.189525883,0.188454665
13.45,0.189514816,0.18844511
13.46,0.18950377,0.188435572
13.47,0.189492744,0.18842605
13.48,0.189481748,0.188416556
13.49,0.189470771,0.188407078
13.5,0.189459813,0.188397616
13.51,0.189448886,0.188388181
13.52,0.189437978,0.188378762
13.53,0.189427089,0.18836936
13.54,0.18941623,0.188359983
13.55,0.18940538,0.188350613
13.56,0.18939456,0.18834127
13.57,0.189383769,0.188331952
13.58,0.189372987,0.188322641
13.59,0.189362234,0.188313355
13.6,0.189351501,0.188304087
13.61,0.189340787,0.188294833
13.62,0.1893301,0.188285605
13.63,0.189319434,0.188276394
13.64,0.189308787,0.188267199
13.65,0.189298158,0.18825802
13.66,0.189287558,0.188248866
13.67,0.189276977,0.188239728
13.68,0.189266414,0.188230605
13.69,0.189255881,0.188221508
13.7,0.189245356,0.188212417
13.71,0.189234859,0.188203351
13.72,0.189224381,0.188194302
13.73,0.189213932,0.188185278
13.74,0.189203491,0.188176259
13.75,0.189193078,0.188167265
13.76,0.189182693,0.188158296
13.77,0.189172327,0.188149344
13.78,0.189161969,0.188140397
13.79,0.18915164,0.188131475
13.8,0.189141328,0.188122568
13.81,0.189131045,0.188113686
13.82,0.189120769,0.188104809
13.83,0.189110532,0.188095967
13.84,0.189100292,0.188087121
13.85,0.18909009,0.188078309
13.86,0.189079907,0.188069513
13.87,0.189069741,0.188060732
13.88,0.189059593,0.188051965
13.89,0.189049472,0.188043223
13.9,0.189039369,0.188034496
13.91,0.189029275,0.188025775
13.92,0.189019216,0.188017087
13.93,0.189009167,0.188008405
13.94,0.188999134,0.187999736
13.95,0.188989129,0.187991093
13.96,0.18897915,0.187982474
13.97,0.18896918,0.18797386
13.98,0.188959237,0.187965271
